listing_id,room_type,accomodates,min_date,max_date,timedelta (days),timedelta > 3 months,timedelta = 0,št. reviewev v zadnjih 12 mesecih,"število mesecev, v katerem so prejeli review",latitude,longitude,reviews,overall_satisfaction,price
21199424,Entire home/apt,2,2017-10-15,2018-12-11,422,TRUE,FALSE,44,12,46.047095,14.455651,28,4.5,36
21224858,Private room,3,,,0,FALSE,TRUE,0,0,46.043235,14.48068,2,\N,41
21250997,Entire home/apt,2,,,0,FALSE,TRUE,0,0,46.056863,14.504424,47,5,61
21259682,Private room,2,2017-10-15,2018-08-02,291,TRUE,FALSE,6,6,46.067926,14.514453,10,5,39
21263643,Entire home/apt,6,2017-12-10,2018-12-09,364,TRUE,FALSE,35,11,46.064619,14.511495,18,5,77
21273257,Entire home/apt,4,2017-11-01,2018-05-17,197,TRUE,FALSE,3,3,46.065189,14.494682,4,5,84
21288327,Entire home/apt,7,2018-01-01,2018-08-17,228,TRUE,FALSE,3,3,46.049635,14.505116,2,\N,227
21303095,Entire home/apt,5,2018-01-20,2018-08-08,200,TRUE,FALSE,2,2,46.049436,14.506263,1,\N,213
21303398,Entire home/apt,4,2018-04-03,2018-04-22,19,FALSE,FALSE,4,1,46.050869,14.506865,4,5,217
21305795,Entire home/apt,8,2017-10-23,2018-10-05,347,TRUE,FALSE,15,9,46.048756,14.500864,14,5,158
21316278,Entire home/apt,4,2018-03-11,2018-09-19,192,TRUE,FALSE,7,4,46.113654,14.469747,2,\N,72
21332437,Private room,2,2017-10-25,2018-12-09,410,TRUE,FALSE,76,12,46.046322,14.508188,44,5,33
21362725,Entire home/apt,4,2017-11-19,2018-11-07,353,TRUE,FALSE,21,8,46.035902,14.522958,8,4.5,64
21456401,Entire home/apt,2,2017-12-10,2018-11-30,355,TRUE,FALSE,16,6,46.039694,14.491477,5,5,55
21510141,Entire home/apt,4,2017-10-30,2018-11-04,370,TRUE,FALSE,54,12,46.056648,14.521381,28,5,61
21513994,Private room,1,,,0,FALSE,TRUE,0,0,46.080008,14.506228,19,5,16
